City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
560,San Jeronimito,MX,87.64,clear sky,17.55,-101.3333,Quinta Mamá Pía
565,Gold Coast,AU,72.0,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
567,Tuy Hoa,VN,71.98,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
571,Hualmay,PE,75.51,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
574,Tiarei,PF,82.42,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
575,Palmeira,BR,73.62,overcast clouds,-25.4294,-50.0064,Hotel Vereda
576,Sabanalarga,CO,86.88,clear sky,10.6296,-74.9206,Hotel Miraflores
577,Ambatondrazaka,MG,69.93,light rain,-17.8333,48.4167,MANAMBINA Hotel
578,Mpulungu,ZM,74.26,overcast clouds,-8.7623,31.1141,Chela moche guest house
579,Moranbah,AU,71.51,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
581,Ouidah,BJ,84.06,overcast clouds,6.3631,2.0851,Djegba Hotel
585,San Miguel,SV,94.6,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
586,Miraflores,MX,66.96,few clouds,19.2167,-98.8083,Hotel Mansión
587,San Carlos,VE,92.98,few clouds,9.6612,-68.5827,Hotel Paternopoli
588,Tucupita,VE,80.26,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
591,Nimaparha,IN,66.6,scattered clouds,20.0667,86.0167,Sony nani
594,Saint-Paul,RE,78.91,overcast clouds,-21.0096,55.2707,Boucan Canot
598,Hambantota,LK,77.7,overcast clouds,6.1241,81.1185,Bungalow 63
600,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
604,Flinders,AU,69.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
609,Maningrida,AU,76.59,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
611,Santa Marta,CO,86.05,few clouds,11.2408,-74.199,Casa de Isabella
615,Paita,PE,81.16,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
616,Rio Gallegos,AR,62.65,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
617,Ruteng,ID,63.63,overcast clouds,-8.6136,120.4721,Hotel FX 72
620,Keningau,MY,73.85,overcast clouds,5.3378,116.1602,Sabindo Hotel
625,Banting,MY,77.14,broken clouds,2.8167,101.5,Hotel Intan Jugra
628,Chinna Salem,IN,71.91,scattered clouds,11.65,78.9,SVA Lodge
631,Sao Filipe,CV,72.55,overcast clouds,14.8961,-24.4956,Hotel Xaguate
