City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,La Libertad,-2.2333,-80.9,73.53,83,99,4.94,EC,2022-01-09 05:42:31
276,Skjervoy,70.0311,20.9714,25.63,74,81,8.79,NO,2022-01-09 05:42:31
277,Karonga,-9.9333,33.9333,76.14,85,100,1.86,MW,2022-01-09 05:42:31
278,Pedasi,7.5333,-80.0333,75.07,77,6,16.8,PA,2022-01-09 05:42:32
279,Kamenka,51.3223,42.7678,8.46,94,86,9.44,RU,2022-01-09 05:42:32
280,Saint-Pierre,-21.3393,55.4781,85.64,74,0,5.75,RE,2022-01-09 05:42:32
281,Ciudad Bolivar,8.1222,-63.5497,72.21,81,99,8.77,VE,2022-01-09 05:42:33
282,Makat,47.6469,53.3463,23.43,81,25,11.41,KZ,2022-01-09 05:42:33
283,Touros,-5.1989,-35.4608,76.1,82,83,7.02,BR,2022-01-09 05:42:33
284,Pavlodar,52.3,76.95,28.2,86,100,22.37,KZ,2022-01-09 05:42:34
285,Safranbolu,41.2508,32.6942,40.73,82,96,3.29,TR,2022-01-09 05:42:34
286,Babayurt,43.6002,46.7789,42.26,69,83,20.56,RU,2022-01-09 05:42:34
287,Beloha,-25.1667,45.05,84.33,54,99,9.64,MG,2022-01-09 05:42:35
288,Sinjar,36.3209,41.8754,48.29,54,0,6.06,IQ,2022-01-09 05:42:35
289,Viedma,-40.8135,-62.9967,82.09,27,87,18.03,AR,2022-01-09 05:40:24
290,Asheboro,35.7079,-79.8136,38.3,32,100,4.61,US,2022-01-09 05:39:00
291,Talcahuano,-36.7167,-73.1167,60.48,94,100,4.61,CL,2022-01-09 05:42:35
