City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Cassilandia,BR,-19.1133,-51.7342,77.04,78,100,4.36
146,Mashivka,UA,49.4431,34.8669,8.51,82,99,10.2
147,Krasnoselkup,RU,65.7,82.4667,-18.98,99,99,10.09
148,Ashqelon,IL,31.6693,34.5715,59.41,39,72,8.25
149,Bengkulu,ID,-3.8004,102.2655,74.7,90,100,4.29
150,Gat,IL,31.61,34.7642,58.41,33,64,6.8
151,Chesterton,US,41.6106,-87.0642,41.83,75,100,1.99
152,Nokaneng,BW,-19.6667,22.2667,73.15,70,100,8.7
153,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,0,3.44
154,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14
155,Bosaso,SO,11.2842,49.1816,73.81,68,83,6.64
156,Pestravka,RU,52.405,49.9583,14.0,94,97,9.22
157,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,40,4.47
158,Henties Bay,NA,-22.116,14.2845,64.85,89,99,5.95
159,Korla,CN,41.7597,86.1469,22.26,59,8,2.59
160,Argelia,CO,2.2556,-77.2488,71.85,89,86,0.85
161,Porto Novo,BJ,6.4965,2.6036,84.02,78,100,10.02
162,Saint George,US,37.1041,-113.5841,58.35,47,0,4.61
163,Klaksvik,FO,62.2266,-6.589,49.12,87,100,40.22
164,Nueva Loja,EC,0.0847,-76.8828,90.7,42,57,3.33
165,Vila Velha,BR,-20.3297,-40.2925,87.75,73,0,8.99
166,Marsaxlokk,MT,35.8419,14.5431,53.08,93,100,5.75
167,Kalmunai,LK,7.4167,81.8167,77.09,86,48,3.65
168,Sorland,NO,67.667,12.6934,40.86,73,63,37.0
169,Thaba-Tseka,LS,-29.522,28.6084,58.55,85,97,4.29
170,Kikwit,CD,-5.041,18.8162,73.74,92,100,3.51
171,Olinda,BR,-8.0089,-34.8553,83.93,70,40,6.91
172,Varnavino,RU,57.4035,45.0916,-1.91,99,88,3.36
173,Hamilton,US,39.1834,-84.5333,48.24,52,100,1.99
174,Una,IN,20.8167,71.0333,60.44,44,0,10.74
175,Nanortalik,GL,60.1432,-45.2371,21.61,74,100,16.44
176,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,13.8
177,Luena,AO,-11.7833,19.9167,64.89,96,100,2.66
178,Quelimane,MZ,-17.8786,36.8883,84.15,79,75,5.99
179,Polunochnoye,RU,60.8697,60.4153,-4.02,92,100,3.98
180,Jurado,CO,7.1053,-77.7641,80.33,81,8,5.19
181,Aksu,CN,41.1231,80.2644,22.75,57,15,2.59
182,Ustka,PL,54.5805,16.8619,34.61,92,38,17.72
183,Bomet,KE,-0.7813,35.3416,55.4,53,15,3.62
184,Namibe,AO,-15.1961,12.1522,68.29,80,28,7.43
185,Sur,OM,22.5667,59.5289,68.94,50,0,2.48
186,Marsh Harbour,BS,26.5412,-77.0636,70.3,68,99,17.13
187,Alpena,US,45.0617,-83.4327,28.94,87,100,8.01
188,Qaqortoq,GL,60.7167,-46.0333,9.82,96,56,5.73
189,Chuy,UY,-33.6971,-53.4616,79.18,57,1,12.59
190,Sfantu Gheorghe,RO,45.8667,25.7833,21.65,54,7,2.84
191,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.95,98,100,2.84
192,Nadvoitsy,RU,63.8667,34.3167,25.61,89,100,18.1
193,Muros,ES,42.7762,-9.0603,56.84,79,7,7.83
194,Koutsouras,GR,35.0339,25.9469,53.11,85,100,32.53
195,Mahajanga,MG,-15.7167,46.3167,80.98,77,100,5.28
196,Bardiyah,LY,31.7561,25.0865,57.11,74,99,11.68
197,Turukhansk,RU,65.8167,87.9833,-22.22,98,100,6.51
198,Parabel,RU,58.6978,81.4825,-16.4,100,100,3.27
199,Castelo Do Piaui,BR,-5.3222,-41.5525,87.98,45,89,4.45
200,Luderitz,NA,-26.6481,15.1594,66.18,84,0,14.94
201,Abalak,RU,58.1286,68.5944,-1.68,95,12,4.63
202,Barra Do Pirai,BR,-22.47,-43.8256,78.42,91,64,5.68
203,Martinez,US,38.0194,-122.1341,62.42,77,0,1.99
204,Usinsk,RU,65.9939,57.5281,12.63,94,100,22.19
205,Parakou,BJ,9.3372,2.6303,86.61,17,6,2.28
206,General Pico,AR,-35.6566,-63.7568,110.98,10,7,13.62
207,Koster,ZA,-25.863,26.8976,65.73,75,86,7.34
208,Vardo,NO,70.3705,31.1107,34.0,86,100,24.16
209,Dzilam Gonzalez,MX,21.2833,-88.9333,77.31,66,79,9.37
210,Esil,KZ,51.9556,66.4042,13.77,93,94,9.13
211,Cap Malheureux,MU,-19.9842,57.6142,80.47,85,100,8.99
212,Cochabamba,BO,-17.3895,-66.1568,70.2,47,40,8.05
213,Cascais,PT,38.6979,-9.4215,60.48,68,0,1.99
214,Chapais,CA,49.7834,-74.8492,1.18,86,100,9.46
215,Mogadishu,SO,2.0371,45.3438,78.42,80,100,19.44
216,Puerto Colombia,CO,10.9878,-74.9547,79.99,72,3,19.33
217,Khor,RU,47.8861,134.9464,-4.58,99,100,5.61
218,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,14.97
219,Ouadda,CF,8.0777,22.4007,80.56,46,100,2.68
220,Bhandara,IN,21.1667,79.65,61.29,87,9,4.18
221,Port Blair,IN,11.6667,92.75,80.65,75,99,10.83
222,Paraguari,PY,-25.6208,-57.1472,104.9,10,0,7.78
223,Pamplonita,CO,7.437,-72.638,67.5,75,98,4.43
224,Shache,CN,38.4167,77.2406,27.01,39,100,2.51
